order_id,customer_id,product_id,order_date,quantity,total_amount
1001,C001,P001,2024-01-05,3,750.00
1002,C002,P002,2024-01-08,2,300.00
1003,C001,P003,2024-01-15,1,99.50
1004,C003,P001,2024-02-02,5,1250.00
1005,C004,P004,2024-02-10,1,120.00
1006,C002,P002,2024-02-14,2,300.00
1007,C005,P005,2024-02-20,2,150.00
1008,C001,P001,2024-03-01,4,1000.00
1009,C003,P003,2024-03-05,1,99.50
1010,C006,P006,2024-03-09,3,135.00
1011,C007,P007,2024-03-12,2,120.00
1012,C004,P004,2024-03-15,2,240.00
1013,C005,P005,2024-03-18,3,225.00
1014,C008,P002,2024-04-02,1,150.00
1015,C007,P007,2024-04-06,2,120.00
1016,C002,P001,2024-04-11,2,500.00
1017,C006,P006,2024-04-15,4,180.00
1018,C003,P005,2024-04-20,1,75.00
